tool_id,date_id,version,interest_levels,change_type
1729,7,v18.2.0,,patch
1730,7,v2.7.16,,same
1731,7,v1.0,,non-semantic
1732,7,v5.0.11,,patch
1733,7,v7.6.5-nightly.20240112,,patch
1734,7,v.1.0,,non-semantic
1735,7,,,
1736,7,,,
1737,7,v0.0.161,,same
1738,7,289,,non-semantic
1739,7,,,
1740,7,,,
1741,7,v2.0.0,,patch
1742,7,3.5.4,,patch
1743,7,4.1.0,,patch
1744,7,v0.6.0,,patch
1745,7,,,
1746,7,editor%403.2.2,,patch
1747,7,,,
1748,7,v6.0.0,,patch
1749,7,0.5.0,,patch
1750,7,marko%405.32.6,,patch
1751,7,v1.1.0,,patch
1752,7,4.9.1,,patch
1753,7,vue-calendar%402.1.3,,same
1754,7,0.15.2.0,,patch
1755,7,,,
1756,7,,,
1757,7,1.0.0,,same
1758,7,,,
1759,7,17.1.0,,patch
1760,7,stablestudio-v0.1.0,,patch
1761,7,,,
1762,7,0.9.9,,patch
1763,7,2.17.2,,patch
1764,7,v2023.12.21-5ed3693,,patch
1765,7,,,
1766,7,v4.1.3,,patch
1767,7,v2.0.0-alpha.7,,same
1768,7,v2.3.0,,patch
1769,7,,,
1770,7,2019-chinese,,non-semantic
1771,7,v1.4.10,,patch
1772,7,%40builder.io%2Fsdk-vue%400.9.0,,same
1773,7,vite-plugin-imba%400.10.1,,patch
1774,7,,,
1775,7,v1.0.0,,patch
1776,7,,,
1777,7,,,
1778,7,,,
1779,7,,,
1780,7,v3.8.4,,patch
1781,7,,,
1782,7,,,
1783,7,,,
1784,7,3.14.1,,patch
1785,7,1.3,,non-semantic
1786,7,,,
1787,7,,,
1788,7,,,
1789,7,,,
1790,7,,,
1791,7,,,
1792,7,v0.0.33,,patch
1793,7,,,
1794,7,,,
1795,7,v2.17.0,,patch
1796,7,,,
1797,7,,,
1798,7,,,
1799,7,0.2.0,,patch
1800,7,,,
1801,7,,,
1802,7,20240112.0,,non-semantic
1803,7,,,
1804,7,,,
1805,7,v10.0.0,,patch
1806,7,v8.8.4,,patch
1807,7,v2.4.0,,patch
1808,7,4.9.41,,patch
1809,7,,,
1810,7,v0.17.0-rc.0,,patch
1811,7,v3.0.1,,patch
1812,7,,,
1813,7,59af16e,,non-semantic
1814,7,v0.0.7,,patch
1815,7,,,
1816,7,,,
1817,7,,,
1818,7,6.10.11,,patch
1819,7,,,
1820,7,v4.7.0,,patch
1821,7,V15.5,,same
1822,7,,,
1823,7,0.0.2,,patch
1824,7,0.99,,non-semantic
1825,7,v1.1.0,,patch
1826,7,v10.0.0,,patch
1827,7,2.0.1,,patch
1828,7,,,
1829,7,3.0.5,,patch
1830,7,v1.0.0-beta.24,,same
1831,7,1.31,,non-semantic
1832,7,v1.0,,non-semantic
1833,7,v0.3.1,,patch
1834,7,v4.1.0,,patch
1835,7,v1.0,,non-semantic
1836,7,,,
1837,7,,,
1838,7,v1.0.0,,patch
1839,7,,,
1840,7,1.3.11,,patch
1841,7,v3.0.1,,patch
1842,7,v14.5.2,,patch
1843,7,v0.2.4,,patch
1844,7,v1.0,,non-semantic
1845,7,,,
1846,7,v2.7.3,,patch
1847,7,,,
1848,7,,,
1849,7,,,
1850,7,v1.1.0,,same
1851,7,,,
1852,7,,,
1853,7,,,
1854,7,9.3.2,,patch
1855,7,v1.0.0,,patch
1856,7,v2.2.1,,patch
1857,7,,,
1858,7,,,
1859,7,v0.4.0,,patch
1860,7,ver2.1,,non-semantic
1861,7,,,
1862,7,17.0.0-alpha.1,,patch
1863,7,,,
1864,7,,,
1865,7,9.0.0,,patch
1866,7,v0.15.3,,patch
1867,7,,,
1868,7,,,
1869,7,v15.1.0,,patch
1870,7,,,
1871,7,v1.4.3,,patch
1872,7,,,
1873,7,,,
1874,7,,,
1875,7,,,
1876,7,v2.5.0,,patch
1877,7,,,
1878,7,3.2.1,,patch
1879,7,,,
1880,7,,,
1881,7,,,
1882,7,,,
1883,7,2.4.1,,patch
1884,7,2.1,,non-semantic
1885,7,v2.0.0-beta.9,,same
1886,7,v1.4.0,,patch
1887,7,,,
1888,7,,,
1889,7,,,
1890,7,,,
1891,7,,,
1892,7,v.2018-2019,,non-semantic
1893,7,,,
1894,7,v3.13.0,,patch
1895,7,,,
1896,7,,,
1897,7,2.0,,non-semantic
1898,7,,,
1899,7,7.3.1,,patch
1900,7,,,
1901,7,,,
1902,7,,,
1903,7,,,
1904,7,v2.4.0-beta.12,,same
1905,7,,,
1906,7,10.0.4,,patch
1907,7,,,
1908,7,v3.8.0,,patch
1909,7,,,
1910,7,1.4.13,,same
